paper_id,text_source,n_sentences_total,n_tagged_sentences,n_manipulation,n_success,n_failure,n_wild_type,n_not_wild_type,regex_accessions,regex_strains,has_signal
P45e0e9e847b1,fulltext,253,129,12,12,0,10,4,0,0,True
P4642a30f6969,fulltext,284,84,3,0,1,12,4,1,0,True
P46f080ebd64d,abstract,6,1,0,0,0,0,1,0,0,False
P474ca83e75ea,abstract,9,3,2,0,0,0,0,0,0,False
P47669b97bd53,abstract,7,6,1,0,0,0,1,0,0,True
P48185093248b,fulltext,426,47,5,0,0,12,0,5,0,True
P492b415d42c2,abstract,9,1,1,0,0,0,0,0,0,False
P49d63c11adb3,abstract,8,1,0,0,0,0,0,0,0,False
P4a17706466cc,fulltext,109,59,12,2,0,3,5,2,0,True
P4b389df1f14b,abstract,6,1,0,0,0,0,1,0,0,False
P4c5431bdd987,abstract,10,4,1,0,0,0,0,0,0,True
P4d24227198ad,fulltext,197,66,12,0,0,7,2,0,0,True
P4d28bc4260e8,fulltext,215,124,12,2,0,12,8,0,0,True
P522399943164,abstract,9,3,3,0,0,1,0,0,0,True
P524392fbdb91,abstract,7,5,2,0,0,0,0,0,0,False
P52e91746b0a4,abstract,8,7,6,0,0,1,0,0,0,True
P52fde2780e73,abstract,8,4,2,0,0,1,1,0,1,True
P5332a937ac6b,abstract,2,2,2,1,0,0,0,0,0,True
P54d57cf491df,fulltext,414,248,12,1,0,12,12,0,0,True
P5595c361b9e7,abstract,9,2,1,0,0,0,0,0,0,True
P56bd96046724,abstract,8,3,2,0,0,0,0,0,0,False
P57a8bc274ec2,fulltext,248,124,12,2,0,2,9,0,0,True
P583d4618740d,fulltext,254,132,12,0,0,9,5,2,0,True
P58a5746084e7,fulltext,375,142,12,2,1,12,12,2,1,True
P5966c71c167a,abstract,4,4,3,0,0,0,3,0,0,True
P59b6690b85b2,fulltext,133,63,12,8,0,12,12,0,0,True
P5a0132f393f5,abstract,10,6,2,0,0,0,0,0,0,True
P5af651b65d9a,abstract,8,6,2,0,0,0,2,0,0,True
P5c84be0fc2e6,abstract,14,12,10,0,0,0,1,0,0,True
P5d054010dc91,fulltext,210,130,12,5,0,12,11,0,1,True
P5dec9af0fd65,abstract,10,1,0,0,0,0,0,0,0,False
P5efd33c7c4d8,abstract,9,4,1,0,0,1,2,0,0,True
P5f8bf0aab27b,abstract,4,0,0,0,0,0,0,0,0,False
P5f987d50e1c8,abstract,6,5,5,0,0,0,0,0,0,False
P607bd329d3a7,fulltext,130,23,4,0,0,7,0,0,0,True
P619f8f2d6c87,abstract,6,4,4,0,0,0,1,0,0,True
P629b7be41883,fulltext,202,81,6,3,0,12,12,0,2,True
